property_type_House,property_type_Townhouse,property_type_Unit,property_type_Villa,suburb_Hawthorn,suburb_Ringwood_North,bedrooms,bathrooms,parking_spaces,has_study,total_rooms,bed_to_bath_ration,parking_per_bedroom,sold_price
0.0,1.0,0.0,0.0,0.0,0.0,0.12579860417159155,0.5685352436149611,0.3940810180860316,-0.3730019232961255,0.2982915226960287,-0.4948132892185766,0.19802876970457942,1475000.0
0.0,1.0,0.0,0.0,1.0,0.0,-0.6981822531523341,0.5685352436149611,0.3940810180860316,-0.3730019232961255,-0.27635832249779085,-1.3240739402330786,1.5386886576270549,1000000.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.6981822531523341,-0.9830921920842038,-2.007063789786998,-0.3730019232961255,-0.8510081676916105,0.3344473617959254,-2.4832910061403712,572000.0
0.0,0.0,0.0,0.0,1.0,0.0,-0.6981822531523341,-0.9830921920842038,0.3940810180860316,-0.3730019232961255,-0.8510081676916105,0.3344473617959254,1.5386886576270549,721000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.9497794614955172,0.5685352436149611,0.3940810180860316,-0.3730019232961255,0.8729413678898483,0.3344473617959254,-0.47230117425665813,2110000.0
0.0,1.0,0.0,0.0,0.0,1.0,0.12579860417159155,0.5685352436149611,0.3940810180860316,-0.3730019232961255,0.2982915226960287,-0.4948132892185766,0.19802876970457942,935000.0
0.0,0.0,0.0,0.0,1.0,0.0,-0.6981822531523341,-0.9830921920842038,-0.8064913858504833,-0.3730019232961255,-0.8510081676916105,0.3344473617959254,-0.47230117425665813,645000.0
1.0,0.0,0.0,0.0,0.0,1.0,0.9497794614955172,0.5685352436149611,2.795225825959061,-0.3730019232961255,0.8729413678898483,0.3344473617959254,1.5386886576270549,1585000.0
0.0,0.0,1.0,0.0,0.0,1.0,-0.6981822531523341,-0.9830921920842038,-0.8064913858504833,-0.3730019232961255,-0.8510081676916105,0.3344473617959254,-0.47230117425665813,703000.0
0.0,0.0,0.0,0.0,1.0,0.0,-0.6981822531523341,-0.9830921920842038,-0.8064913858504833,-0.3730019232961255,-0.8510081676916105,0.3344473617959254,-0.47230117425665813,795000.0
0.0,0.0,1.0,0.0,0.0,0.0,-0.6981822531523341,-0.9830921920842038,-0.8064913858504833,-0.3730019232961255,-0.8510081676916105,0.3344473617959254,-0.47230117425665813,995000.0
0.0,0.0,1.0,0.0,1.0,0.0,-0.6981822531523341,-0.9830921920842038,-0.8064913858504833,-0.3730019232961255,-0.8510081676916105,0.3344473617959254,-0.47230117425665813,1094000.0
1.0,0.0,0.0,0.0,0.0,1.0,0.12579860417159155,-0.9830921920842038,0.3940810180860316,-0.3730019232961255,-0.27635832249779085,1.9929686638249293,0.19802876970457942,1065000.0
0.0,0.0,1.0,0.0,0.0,0.0,0.12579860417159155,-0.9830921920842038,0.3940810180860316,-0.3730019232961255,-0.27635832249779085,1.9929686638249293,0.19802876970457942,1180000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.9497794614955172,0.5685352436149611,0.3940810180860316,-0.3730019232961255,0.8729413678898483,0.3344473617959254,-0.47230117425665813,2330000.0
0.0,1.0,0.0,0.0,0.0,0.0,0.12579860417159155,0.5685352436149611,0.3940810180860316,-0.3730019232961255,0.2982915226960287,-0.4948132892185766,0.19802876970457942,1335000.0
0.0,0.0,0.0,0.0,1.0,0.0,-0.6981822531523341,-0.9830921920842038,-0.8064913858504833,-0.3730019232961255,-0.8510081676916105,0.3344473617959254,-0.47230117425665813,575000.0
0.0,0.0,1.0,0.0,1.0,0.0,-1.5221631104762596,-0.9830921920842038,-2.007063789786998,-0.3730019232961255,-1.42565801288543,-1.3240739402330786,-2.4832910061403712,262000.0
0.0,0.0,0.0,1.0,0.0,0.0,-0.6981822531523341,-0.9830921920842038,0.3940810180860316,-0.3730019232961255,-0.8510081676916105,0.3344473617959254,1.5386886576270549,810000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.7737603188194428,2.120162679314126,1.5946534220225466,-0.3730019232961255,2.0222410582774875,-0.21839307221374246,-0.0701032078799156,1350000.0
0.0,0.0,0.0,0.0,1.0,0.0,-0.6981822531523341,-0.9830921920842038,-0.8064913858504833,-0.3730019232961255,-0.8510081676916105,0.3344473617959254,-0.47230117425665813,555000.0
1.0,0.0,0.0,0.0,0.0,1.0,0.9497794614955172,0.5685352436149611,0.3940810180860316,-0.3730019232961255,0.8729413678898483,0.3344473617959254,-0.47230117425665813,1395000.0
0.0,0.0,0.0,0.0,1.0,0.0,-1.5221631104762596,-0.9830921920842038,-0.8064913858504833,-0.3730019232961255,-1.42565801288543,-1.3240739402330786,1.5386886576270549,328000.0
0.0,1.0,0.0,0.0,0.0,1.0,0.12579860417159155,0.5685352436149611,0.3940810180860316,-0.3730019232961255,0.2982915226960287,-0.4948132892185766,0.19802876970457942,1135000.0
1.0,0.0,0.0,0.0,0.0,0.0,1.7737603188194428,2.120162679314126,1.5946534220225466,-0.3730019232961255,2.0222410582774875,-0.21839307221374246,-0.0701032078799156,3600000.0
